-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      45.000us         0.00%      45.000us       1.875us           0 b           0 b           0 b           0 b            24            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      43.000us         0.00%      43.000us       7.167us           0 b           0 b           0 b           0 b             6            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.000us         0.00%      37.000us       1.233us           0 b           0 b           0 b           0 b            30            --  
                                           aten::arange         0.02%     671.000us         0.08%       2.397ms      28.536us      36.000us         0.00%      80.000us       0.952us       6.00 Kb           0 b      66.00 Kb           0 b            84            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      30.000us         0.00%      30.000us       1.250us           0 b           0 b           0 b           0 b            24            --  
                                          aten::normal_         0.01%     348.000us         0.02%     595.000us      24.792us      28.000us         0.00%      32.000us       1.333us           0 b           0 b           0 b           0 b            24            --  
_ZN2at6native54_GLOBAL__N__d8ceb000_21_DistributionN...         0.00%       0.000us         0.00%       0.000us       0.000us      28.000us         0.00%      28.000us       1.167us           0 b           0 b           0 b           0 b            24            --  
                                        cudaMemsetAsync         0.13%       3.962ms         0.13%       3.962ms       7.256us      28.000us         0.00%      28.000us       0.051us           0 b           0 b           0 b           0 b           546            --  
                                          aten::nonzero         0.01%     320.000us         1.17%      35.365ms       5.894ms      27.000us         0.00%      27.000us       4.500us           0 b           0 b       3.00 Kb           0 b             6            --  
                                               aten::ge         0.02%     530.000us         0.03%     788.000us      32.833us      25.000us         0.00%      25.000us       1.042us           0 b           0 b      12.00 Kb      12.00 Kb            24            --  
