-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us     428.000us         0.03%     428.000us      71.333us           0 b           0 b             6  
                    tvmgen_default_fused_mean_15_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     416.000us         0.03%     416.000us      69.333us           0 b           0 b             6  
                tvmgen_default_fused_variance_15_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     414.000us         0.03%     414.000us      69.000us           0 b           0 b             6  
              tvmgen_default_fused_concatenate_7_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     413.000us         0.03%     413.000us      34.417us           0 b           0 b            12  
tvmgen_default_fused_reshape_transpose_reshape_broad...         0.00%       0.000us         0.00%       0.000us       0.000us     396.000us         0.02%     396.000us       6.600us           0 b           0 b            60  
                 tvmgen_default_fused_variance_1_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     360.000us         0.02%     360.000us       4.000us           0 b           0 b            90  
                     tvmgen_default_fused_mean_7_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     360.000us         0.02%     360.000us       4.000us           0 b           0 b            90  
                 tvmgen_default_fused_variance_7_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     360.000us         0.02%     360.000us       4.000us           0 b           0 b            90  
                 tvmgen_default_fused_multiply_1_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     354.000us         0.02%     354.000us      11.800us           0 b           0 b            30  
tvmgen_default_fused_reshape_squeeze_add_add_2_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     340.000us         0.02%     340.000us       5.667us           0 b           0 b            60  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us     327.000us         0.02%     327.000us       9.083us           0 b           0 b            36  
              tvmgen_default_fused_concatenate_6_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     307.000us         0.02%     307.000us      51.167us           0 b           0 b             6  
tvmgen_default_fused_reshape_squeeze_add_add_reshape...         0.00%       0.000us         0.00%       0.000us       0.000us     305.000us         0.02%     305.000us      10.167us           0 b           0 b            30  
                     tvmgen_default_fused_mean_4_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     270.000us         0.02%     270.000us       3.000us           0 b           0 b            90  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us     251.000us         0.02%     251.000us       8.367us           0 b           0 b            30  
        tvmgen_default_fused_transpose_reshape_2_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     240.000us         0.01%     240.000us       8.000us           0 b           0 b            30  
tvmgen_default_fused_reshape_transpose_reshape_broad...         0.00%       0.000us         0.00%       0.000us       0.000us     239.000us         0.01%     239.000us       3.983us           0 b           0 b            60  
