-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::slice         0.45%       2.141ms         0.48%       2.303ms       4.681us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           492            --  
                                        aten::unsqueeze         0.23%       1.109ms         0.23%       1.129ms       4.091us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           276            --  
                                           aten::linear         1.95%       9.347ms        15.44%      74.176ms      66.825us       0.000us         0.00%     116.580ms     105.027us           0 b           0 b       3.94 Gb      44.19 Mb          1110            --  
                                                aten::t         1.06%       5.099ms         1.86%       8.951ms       8.064us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1110            --  
                                        aten::transpose         1.65%       7.911ms         1.85%       8.870ms       3.352us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2646            --  
                                           aten::matmul         1.18%       5.681ms         6.24%      29.965ms      51.486us       0.000us         0.00%      31.325ms      53.823us           0 b           0 b       1.09 Gb           0 b           582            --  
                                           aten::conv2d         0.76%       3.647ms        13.93%      66.917ms     113.804us       0.000us         0.00%     145.944ms     248.204us           0 b           0 b       1.40 Gb      44.88 Mb           588   2663676.641  
                                      aten::convolution         1.16%       5.582ms        13.49%      64.815ms     110.230us       0.000us         0.00%     150.569ms     256.070us           0 b           0 b       1.40 Gb           0 b           588            --  
                                     aten::_convolution         1.43%       6.867ms        12.32%      59.218ms     100.711us       0.000us         0.00%     150.554ms     256.044us           0 b           0 b       1.40 Gb           0 b           588            --  
                                  cudaStreamIsCapturing         0.04%     210.000us         0.04%     210.000us       0.269us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           780            --  
                                  cudaStreamGetPriority         0.00%       2.000us         0.00%       2.000us       0.003us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           588            --  
                       cudaDeviceGetStreamPriorityRange         0.00%       4.000us         0.00%       4.000us       0.007us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           588            --  
                                          aten::reshape         0.84%       4.048ms         1.56%       7.500ms       3.882us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1932            --  
                                             aten::view         1.35%       6.467ms         1.35%       6.467ms       1.337us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4836            --  
                                       aten::group_norm         0.34%       1.615ms         7.49%      35.992ms      98.339us       0.000us         0.00%      10.734ms      29.328us           0 b           0 b       1.02 Gb           0 b           366            --  
